arich[2].feb[1].t1 : float(31.3125)
arich[2].feb[1].t2 : float(31)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.6875)
arich[2].feb[3].t1 : float(31.25)
arich[2].feb[3].t2 : float(31.3125)
arich[2].feb[4].t1 : float(30.75)
arich[2].feb[4].t2 : float(30.6875)
arich[2].feb[5].t1 : float(31.625)
arich[2].feb[5].t2 : float(31.6875)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.625)
arich[3].feb[0].t2 : float(31.6875)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(30.875)
arich[3].feb[2].t2 : float(30.8125)
arich[3].feb[3].t1 : float(31.4375)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32)
arich[3].feb[4].t2 : float(31.8125)
arich[3].feb[5].t1 : float(31.8125)
arich[3].feb[5].t2 : float(31.8125)
[2018-10-01 15:06:43] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.3125)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.0625)
arich[0].feb[3].t1 : float(31.5625)
arich[0].feb[3].t2 : float(31.3125)
arich[0].feb[4].t1 : float(32.0625)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.0625)
arich[1].feb[2].t1 : float(31.6875)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.8125)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.3125)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.4375)
arich[2].feb[0].t1 : float(31.9375)
arich[2].feb[0].t2 : float(32)
arich[2].feb[1].t1 : float(31.3125)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.6875)
arich[2].feb[3].t1 : float(31.25)
arich[2].feb[3].t2 : float(31.3125)
arich[2].feb[4].t1 : float(30.8125)
arich[2].feb[4].t2 : float(30.75)
arich[2].feb[5].t1 : float(31.625)
arich[2].feb[5].t2 : float(31.75)
arich[3].temp : float(30.875)
arich[3].feb[0].t1 : float(31.625)
arich[3].feb[0].t2 : float(31.6875)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(30.875)
arich[3].feb[2].t2 : float(30.8125)
arich[3].feb[3].t1 : float(31.4375)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32)
arich[3].feb[4].t2 : float(31.8125)
arich[3].feb[5].t1 : float(31.875)
arich[3].feb[5].t2 : float(31.8125)
[2018-10-01 15:26:17] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.25)
arich[0].feb[0].t2 : float(31.3125)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.0625)
arich[0].feb[3].t1 : float(31.5625)
arich[0].feb[3].t2 : float(31.3125)
arich[0].feb[4].t1 : float(32.0625)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.25)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.0625)
arich[1].feb[2].t1 : float(31.6875)
arich[1].feb[2].t2 : float(31.625)
arich[1].feb[3].t1 : float(31.8125)
arich[1].feb[3].t2 : float(31.8125)
arich[1].feb[4].t1 : float(31.3125)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.4375)
arich[2].feb[0].t1 : float(31.9375)
arich[2].feb[0].t2 : float(32)
arich[2].feb[1].t1 : float(31.3125)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.6875)
arich[2].feb[3].t1 : float(31.25)
arich[2].feb[3].t2 : float(31.3125)
arich[2].feb[4].t1 : float(30.8125)
arich[2].feb[4].t2 : float(30.75)
arich[2].feb[5].t1 : float(31.625)
arich[2].feb[5].t2 : float(31.6875)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.6875)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.8125)
arich[3].feb[3].t1 : float(31.4375)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32)
arich[3].feb[4].t2 : float(31.8125)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 15:29:43] 
arich[0].temp : float(32.3125)
arich[0].feb[0].t1 : float(31.25)
arich[0].feb[0].t2 : float(31.25)
arich[0].feb[1].t1 : float(31.4375)
arich[0].feb[1].t2 : float(31.5)
arich[0].feb[2].t1 : float(31.125)
arich[0].feb[2].t2 : float(31.0625)
arich[0].feb[3].t1 : float(31.5625)
arich[0].feb[3].t2 : float(31.3125)
arich[0].feb[4].t1 : float(32.0625)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.0625)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32)
arich[1].feb[1].t2 : float(32.0625)
arich[1].feb[2].t1 : float(31.6875)
arich[1].feb[2].t2 : float(31.625)
arich[1].feb[3].t1 : float(31.8125)
arich[1].feb[3].t2 : float(31.8125)
arich[1].feb[4].t1 : float(31.25)
arich[1].feb[4].t2 : float(31.125)
arich[1].feb[5].t1 : float(31.75)
arich[1].feb[5].t2 : float(31.625)
arich[2].temp : float(32.3125)
arich[2].feb[0].t1 : float(31.9375)
arich[2].feb[0].t2 : float(32)
arich[2].feb[1].t1 : float(31.3125)
arich[2].feb[1].t2 : float(31)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.6875)
arich[2].feb[3].t1 : float(31.25)
arich[2].feb[3].t2 : float(31.3125)
arich[2].feb[4].t1 : float(30.8125)
arich[2].feb[4].t2 : float(30.75)
arich[2].feb[5].t1 : float(31.625)
arich[2].feb[5].t2 : float(31.6875)
arich[3].temp : float(30.6875)
arich[3].feb[0].t1 : float(31.6875)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.0625)
arich[3].feb[2].t1 : float(30.875)
arich[3].feb[2].t2 : float(30.8125)
arich[3].feb[3].t1 : float(31.4375)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32)
arich[3].feb[4].t2 : float(31.8125)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 16:02:17] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.3125)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.5625)
arich[0].feb[3].t2 : float(31.3125)
arich[0].feb[4].t1 : float(32.0625)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.3125)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.3125)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.5)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.75)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.8125)
arich[3].feb[0].t2 : float(31.875)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(31)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(32.0625)
arich[3].feb[5].t2 : float(32)
[2018-10-01 16:03:06] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.25)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.4375)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.75)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.8125)
arich[3].feb[0].t2 : float(31.875)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(31)
arich[3].feb[2].t2 : float(30.9375)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(32.125)
arich[3].feb[5].t2 : float(32)
[2018-10-01 16:31:24] 
arich[0].temp : float(32.375)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.3125)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.5625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.6875)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.3125)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.375)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32)
arich[2].feb[1].t1 : float(31.3125)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.6875)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.75)
arich[3].temp : float(30.8125)
arich[3].feb[0].t1 : float(31.75)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 16:42:59] 
arich[0].temp : float(32.5625)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5625)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.25)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32.0625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.3125)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.875)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.5)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.125)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.75)
arich[3].feb[0].t2 : float(31.8125)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 16:43:52] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.375)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5625)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.25)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32.0625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.25)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.9375)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.25)
arich[1].feb[5].t1 : float(31.875)
arich[1].feb[5].t2 : float(31.75)
arich[2].temp : float(32.4375)
arich[2].feb[0].t1 : float(32.0625)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.125)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.875)
arich[3].feb[0].t1 : float(31.75)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(31)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 17:06:41] 
arich[0].temp : float(32.375)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.3125)
arich[0].feb[1].t1 : float(31.5)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.1875)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.0625)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.6875)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.875)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.1875)
arich[1].feb[5].t1 : float(31.8125)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.375)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.0625)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.75)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.8125)
arich[3].feb[0].t1 : float(31.6875)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.125)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.8125)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.875)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 17:10:06] 
arich[0].temp : float(32.375)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5625)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.25)
arich[0].feb[2].t2 : float(31.125)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32.0625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.125)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.125)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(31.875)
arich[1].feb[3].t2 : float(31.9375)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.25)
arich[1].feb[5].t1 : float(31.875)
arich[1].feb[5].t2 : float(31.6875)
arich[2].temp : float(32.375)
arich[2].feb[0].t1 : float(32)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.125)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.8125)
arich[2].feb[3].t1 : float(31.3125)
arich[2].feb[3].t2 : float(31.375)
arich[2].feb[4].t1 : float(30.875)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.6875)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.75)
arich[3].feb[0].t1 : float(31.6875)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.3125)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.875)
arich[3].feb[5].t2 : float(31.875)
[2018-10-01 17:34:19] 
arich[0].temp : float(32.5)
arich[0].feb[0].t1 : float(31.375)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5625)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.25)
arich[0].feb[2].t2 : float(31.1875)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32.0625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.3125)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.125)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(31.9375)
arich[1].feb[3].t2 : float(31.9375)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.25)
arich[1].feb[5].t1 : float(31.875)
arich[1].feb[5].t2 : float(31.75)
arich[2].temp : float(32.5)
arich[2].feb[0].t1 : float(32.0625)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.4375)
arich[2].feb[1].t2 : float(31.125)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.8125)
arich[2].feb[3].t1 : float(31.375)
arich[2].feb[3].t2 : float(31.4375)
arich[2].feb[4].t1 : float(30.9375)
arich[2].feb[4].t2 : float(30.875)
arich[2].feb[5].t1 : float(31.75)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.9375)
arich[3].feb[0].t1 : float(31.75)
arich[3].feb[0].t2 : float(31.75)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(31)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.9375)
[2018-10-01 17:35:18] 
arich[0].temp : float(32.4375)
arich[0].feb[0].t1 : float(31.3125)
arich[0].feb[0].t2 : float(31.375)
arich[0].feb[1].t1 : float(31.5625)
arich[0].feb[1].t2 : float(31.5625)
arich[0].feb[2].t1 : float(31.25)
arich[0].feb[2].t2 : float(31.1875)
arich[0].feb[3].t1 : float(31.625)
arich[0].feb[3].t2 : float(31.375)
arich[0].feb[4].t1 : float(32.125)
arich[0].feb[4].t2 : float(32.0625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(32.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(32.125)
arich[1].feb[1].t2 : float(32.125)
arich[1].feb[2].t1 : float(31.75)
arich[1].feb[2].t2 : float(31.75)
arich[1].feb[3].t1 : float(31.9375)
arich[1].feb[3].t2 : float(31.9375)
arich[1].feb[4].t1 : float(31.375)
arich[1].feb[4].t2 : float(31.25)
arich[1].feb[5].t1 : float(31.875)
arich[1].feb[5].t2 : float(31.75)
arich[2].temp : float(32.375)
arich[2].feb[0].t1 : float(32.0625)
arich[2].feb[0].t2 : float(32.0625)
arich[2].feb[1].t1 : float(31.375)
arich[2].feb[1].t2 : float(31.125)
arich[2].feb[2].t1 : float(31.75)
arich[2].feb[2].t2 : float(31.8125)
arich[2].feb[3].t1 : float(31.375)
arich[2].feb[3].t2 : float(31.4375)
arich[2].feb[4].t1 : float(30.9375)
arich[2].feb[4].t2 : float(30.8125)
arich[2].feb[5].t1 : float(31.75)
arich[2].feb[5].t2 : float(31.8125)
arich[3].temp : float(30.8125)
arich[3].feb[0].t1 : float(31.75)
arich[3].feb[0].t2 : float(31.8125)
arich[3].feb[1].t1 : float(32.1875)
arich[3].feb[1].t2 : float(32.125)
arich[3].feb[2].t1 : float(30.9375)
arich[3].feb[2].t2 : float(30.875)
arich[3].feb[3].t1 : float(31.5)
arich[3].feb[3].t2 : float(31.375)
arich[3].feb[4].t1 : float(32.0625)
arich[3].feb[4].t2 : float(31.875)
arich[3].feb[5].t1 : float(31.9375)
arich[3].feb[5].t2 : float(31.875)
